Disease,Medications,Time-Based Guidance and Preventive Measures
Chicken pox,Acyclovir;Calamine lotion;Acetaminophen;Diphenhydramine,If fever >38.5°C persists >5 days consult Infectious Disease Specialist;Prevent with varicella vaccine
Cervical spondylosis,Ibuprofen;Cyclobenzaprine;Gabapentin;Tramadol,If numbness persists >4 weeks consult Neurologist;Prevent with posture correction
Hyperthyroidism,Methimazole;Propranolol;Carbimazole;Potassium iodide,If palpitations persist >6 weeks consult Endocrinologist;Prevent with thyroid monitoring
Urinary tract infection,Nitrofurantoin;Trimethoprim-sulfamethoxazole;Fosfomycin;Ciprofloxacin,If burning persists >3 days consult Urologist;Prevent with hydration and cranberry
Varicose veins,Ibuprofen;Diosmin;Pentoxifylline;Compression stockings,If swelling persists >4 weeks consult Vascular Surgeon;Prevent with leg elevation
AIDS,Tenofovir;Emtricitabine;Dolutegravir;Efavirenz,If CD4 drops >3 months consult Infectious Disease Specialist;Prevent with safe sex practices
Paralysis (brain hemorrhage),Labetalol;Levetiracetam;Mannitol;Nimodipine,Immediate consultation with Neurosurgeon;Prevent with BP control 
Typhoid,Ceftriaxone;Azithromycin;Ciprofloxacin;Chloramphenicol,If fever >38°C persists >5 days consult Infectious Disease Specialist;Prevent with typhoid vaccine
Hepatitis B,Tenofovir;Entecavir;Pegylated interferon-alpha;Lamivudine,If liver enzymes elevate >6 months consult Hepatologist;Prevent with hepatitis B vaccine
Fungal infection,Fluconazole;Terbinafine;Clotrimazole;Itraconazole,If infection spreads >2 weeks consult Infectious Disease Specialist;Prevent with dry skin
Hepatitis C,Sofosbuvir;Ledipasvir;Velpatasvir;Glecaprevir-pibrentasvir,If treatment fails >12 weeks consult Hepatologist;Prevent with safe needle practices
Migraine,Sumatriptan;Ibuprofen;Metoclopramide;Rizatriptan,If migraines >2/week for 4 weeks consult Neurologist;Prevent with trigger avoidance
Bronchial Asthma,Budesonide;Albuterol;Montelukast;Salmeterol,If albuterol needed >2/week consult Pulmonologist;Prevent with allergen avoidance
Alcoholic hepatitis,Prednisolone;Pentoxifylline;Thiamine;Folate,If jaundice persists >4 weeks consult Hepatologist;Prevent with alcohol cessation
Jaundice,Ursodeoxycholic acid;Entecavir;IV fluids;Phenobarbital,If jaundice persists >2 weeks consult Hepatologist;Prevent with hepatitis vaccinations
Hepatitis E,Ondansetron;Acetaminophen;Ribavirin;IV fluids,If jaundice persists >4 weeks consult Hepatologist;Prevent with safe water
Dengue,Acetaminophen;IV fluids;Oral rehydration salts;Tranexamic acid,If fever >5 days or bleeding occurs consult Infectious Disease Specialist;Prevent with mosquito control
Hepatitis D,Pegylated interferon-alpha;Tenofovir;Entecavir;Supportive care,If liver worsens >6 months consult Hepatologist;Prevent with hepatitis B vaccine
Heart attack,Aspirin;Nitroglycerin;Metoprolol;Clopidogrel,Immediate consultation with Cardiologist;Prevent with statins and exercise 
Pneumonia,Amoxicillin;Azithromycin;Oseltamivir;Doxycycline,If distress persists >5 days consult Pulmonologist;Prevent with pneumococcal vaccine
Arthritis,Ibuprofen;Methotrexate;Adalimumab;Hydroxychloroquine,If swelling persists >6 weeks consult Rheumatologist;Prevent with weight control
Gastroenteritis,Oral rehydration salts;Ondansetron;Ciprofloxacin;Loperamide,If diarrhea persists >3 days consult Gastroenterologist;Prevent with safe food practices
Tuberculosis,Isoniazid;Rifampin;Ethambutol;Pyrazinamide,If cough persists >2 months consult Infectious Disease Specialist;Prevent with BCG vaccine
